"query_id","user","type","target","signal_time"
"u2_0_1","u2","query","nook","2019-07-31 08:49:07.3116"
"u2_1_2","u2","query","rca","2020-05-04 08:28:21.1848"
"u3_0_1","u3","query","macbook","2019-12-22 00:07:07.0152"
"u4_0_1","u4","query","Tv antenna","2019-08-22 23:45:54.1030"
"u5_0_1","u5","query","AC power cord","2019-10-20 08:27:00.1600"
"u6_0_1","u6","query","Watch The Throne","2019-09-18 11:59:53.7470"
"u7_0_1","u7","query","Camcorder","2020-02-25 13:02:29.3089"
"u9_0_1","u9","query","wireless headphones","2020-04-26 04:26:09.7198"
"u10_0_1","u10","query","Xbox","2019-09-13 16:26:12.0132"
"u10_0_2","u10","query","Xbox360","2019-09-13 17:41:30.7109"
"u10_1_3","u10","query","Joy stick","2019-11-26 21:52:41.2658"
"u11_0_1","u11","query","Macbook","2019-12-27 06:40:18.8586"
"u12_0_1","u12","query","Ipad","2020-05-15 23:35:17.3285"
"u13_0_1","u13","query","blue tooth","2020-04-18 11:34:02.9625"
"u14_0_1","u14","query","Cable management","2020-02-04 20:00:35.0387"
"u15_0_1","u15","query","Driver ps3","2019-12-14 08:56:38.6995"
"u16_0_1","u16","query","alpine","2020-02-13 10:55:13.5480"
"u17_0_1","u17","query","lcd tv","2020-01-03 19:44:01.0000"
"u18_0_1","u18","query","Microsoft office","2019-11-30 14:44:35.1605"
"u19_0_1","u19","query","Dsl router","2019-11-21 04:03:56.1640"
"u20_0_1","u20","query","lcd tv","2020-02-22 19:18:22.7707"
"u21_0_1","u21","query","Hdmi","2019-09-02 06:09:02.0540"
"u21_1_2","u21","query","Gunnar eyewear","2019-12-14 03:36:11.7308"
"u22_0_1","u22","query","mac","2020-04-27 03:04:37.3046"
"u23_0_1","u23","query","Treadmill","2020-03-23 23:50:30.4407"
"u24_0_1","u24","query","netgear","2020-02-24 16:12:29.7290"
"u25_0_1","u25","query","Viera","2019-08-19 00:05:11.4210"
"u26_0_1","u26","query","Razer","2019-10-01 16:50:13.8588"
"u27_0_1","u27","query","Laptops","2019-10-25 23:38:04.8010"
"u28_0_1","u28","query","dlp","2020-05-07 07:39:44.2549"
"u29_0_1","u29","query","wireless repeater","2020-03-07 08:53:07.2406"
"u31_0_1","u31","query","garmin","2020-02-25 05:08:11.4150"
"u32_0_1","u32","query","rock band","2020-05-07 13:42:34.1162"
"u33_0_1","u33","query","Samsung Q10","2019-12-14 19:55:14.8007"
"u34_0_1","u34","query","power cord","2019-10-25 17:50:51.0843"
"u35_0_1","u35","query","iPad","2019-07-14 00:35:12.9533"
"u36_0_1","u36","query","GPS","2019-12-09 08:33:15.2819"
"u37_0_1","u37","query","sony headphones","2019-09-07 07:13:13.8495"
"u37_0_2","u37","query","surge protector","2019-09-07 07:25:54.4670"
"u37_1_3","u37","query","receivers","2020-01-27 23:38:17.3342"
"u37_2_4","u37","query","wii system","2020-04-10 05:47:58.0350"
"u37_3_5","u37","query","hd antenna","2020-04-10 11:46:13.3539"
"u37_4_6","u37","query","music","2020-05-07 09:58:17.0384"
"u37_4_7","u37","query","cell phone","2020-05-07 10:26:11.2969"
"u38_0_1","u38","query","printer","2020-02-11 03:26:30.7108"
"u39_0_1","u39","query","Apple Laptop","2020-04-19 16:00:51.7744"
"u39_0_2","u39","query","Apple Desktop","2020-04-19 16:24:33.9940"
"u40_0_1","u40","query","vaio","2019-11-09 21:09:27.0824"
"u41_0_1","u41","query","Jump drive","2020-04-13 12:08:11.5779"
"u42_0_1","u42","query","3 d glasses","2020-04-09 17:44:19.8313"
"u43_0_1","u43","query","vaio","2020-04-10 09:27:31.5690"
"u44_0_1","u44","query","Flip hd","2020-04-13 13:45:06.4758"
"u46_0_1","u46","query","dell laptops","2019-09-28 22:08:30.7869"
"u47_0_1","u47","query","Htc tablet","2020-02-09 12:21:02.9824"
"u49_0_1","u49","query","cell phone","2020-05-07 04:23:25.9363"
"u50_0_1","u50","query","asus","2020-05-11 08:36:30.6415"
"u52_0_1","u52","query","lcd tv","2020-04-06 00:17:15.1106"
"u53_0_1","u53","query","iPad 2 cases","2020-01-04 00:55:23.3845"
"u54_0_1","u54","query","ico","2020-03-30 07:45:50.3852"
"u55_0_1","u55","query","hp tablets","2019-06-21 20:56:18.9418"
"u56_0_1","u56","query","How to train your dragon","2019-10-21 20:26:26.1650"
"u57_0_1","u57","query","Gossip girl","2020-05-08 00:06:30.8964"
"u59_0_1","u59","query","Blackberry playbook","2019-10-03 16:15:02.7131"
"u60_0_1","u60","query","hp touchpad","2019-07-19 01:50:35.3524"
"u61_0_1","u61","query","how i met your mother","2019-11-17 14:51:17.8005"
"u62_0_1","u62","query","Laptop","2019-09-28 08:59:41.4792"
"u64_0_1","u64","query","One tree hill","2019-10-17 17:12:28.0074"
"u67_0_1","u67","query","Galaxy tab","2019-10-12 14:23:28.7411"
"u69_0_1","u69","query","psp","2019-09-04 16:19:19.3880"
"u70_0_1","u70","query","Modern","2019-11-15 23:03:58.6844"
"u71_0_1","u71","query","Wow","2019-10-11 18:38:44.7657"
"u72_0_1","u72","query","neyo","2020-04-10 07:02:13.7230"
"u73_1_2","u73","query","iPad","2020-04-26 12:24:08.1478"
"u75_0_1","u75","query","Car stereo","2019-08-22 09:54:32.9013"
"u76_0_1","u76","query","samsung refrigerator","2020-02-06 02:11:26.3145"
"u77_0_1","u77","query","motorola triumph","2020-03-05 08:15:37.2128"
"u78_0_1","u78","query","lenovo laptop","2019-10-08 02:49:10.9485"
